,0
budget_encoded,0.4887333252575206
deadline_encoded,0.33182157774668797
company_size_encoded,0.27715527191355616
message_length,0.20162382881137297
contact_social_media,0.14447918296783496
service_branding,0.13606411396436657
question_count,0.11720614471148268
hour_of_day,0.11696854626398465
service_website,0.11088019963538662
has_budget_mentioned,0.0915374666334962
contact_phone,0.08686633736194552
sentiment_score,0.08625639892887768
service_seo,0.08565338263276956
service_ecommerce,0.06542955101081745
day_of_week,0.06530835096663894
has_deadline_mentioned,0.06243425522320868
avg_word_length,0.044161557341585556
professionalism_score,0.0346091769004251
sentence_count,0.024124214801887305
has_company_mentioned,0.023449340086704077
contact_email,0.018531035636167658
service_mobile_app,0.008823429159363533
exclamation_count,0.00693412967317866
month_of_year,7.863690129028367e-05
is_business_hours,0.0
has_phone_mentioned,0.0
