,0
budget_encoded,0.018185339693772336
company_size_encoded,0.018185339693772336
deadline_encoded,0.018185339693772336
service_website,0.018185339693772336
service_ecommerce,0.018185339693772336
service_mobile_app,0.018185339693772336
service_branding,0.018185339693772336
service_seo,0.018185339693772336
contact_email,0.018185339693772336
contact_whatsapp,0.018185339693772336
contact_phone,0.018185339693772336
contact_social_media,0.018185339693772336
hour_of_day,0.018185339693772336
day_of_week,0.018185339693772336
month_of_year,0.018185339693772336
is_business_hours,0.018185339693772336
message_length,0.018185339693772336
avg_word_length,0.018185339693772336
sentence_count,0.018185339693772336
exclamation_count,0.018185339693772336
question_count,0.018185339693772336
has_budget_mentioned,0.018185339693772336
has_deadline_mentioned,0.018185339693772336
has_phone_mentioned,0.018185339693772336
has_company_mentioned,0.018185339693772336
professionalism_score,0.018185339693772336
sentiment_score,0.018185339693772336
