,0
company_size_encoded,0.10074869432495609
budget_encoded,0.08270651851999998
message_length,0.05522075476545183
deadline_encoded,0.047033820659630486
professionalism_score,0.04382109709386975
sentence_count,0.026006778006686052
avg_word_length,0.020208031498581133
day_of_week,0.015216159305342763
month_of_year,0.013059059038330849
sentiment_score,0.011525874975599308
hour_of_day,0.007867409922167584
contact_social_media,0.007759326687322477
has_budget_mentioned,0.007653802520927502
contact_phone,0.007233634250581764
contact_email,0.007083060399641528
contact_whatsapp,0.006476492477747211
has_deadline_mentioned,0.005074820850782405
question_count,0.0048865971562437474
service_branding,0.004347479918850859
service_mobile_app,0.004342231519416509
service_website,0.003385778012716278
service_ecommerce,0.0033639467629095836
service_seo,0.002824309273530955
is_business_hours,0.002810223306714577
exclamation_count,0.00034827048385086554
has_company_mentioned,0.0
has_phone_mentioned,0.0
