,0
company_size_encoded,0.10413939542627373
budget_encoded,0.08078111937964313
message_length,0.057969593468619386
deadline_encoded,0.04864544185574855
professionalism_score,0.03890398462676445
sentence_count,0.025327022863562084
avg_word_length,0.014569184056457412
day_of_week,0.01196513858377972
sentiment_score,0.010454207165686416
month_of_year,0.009909842265290063
has_budget_mentioned,0.00949737664470111
contact_social_media,0.00886828013895158
hour_of_day,0.007827535062577294
contact_email,0.007545885566939401
contact_phone,0.007154671380525648
contact_whatsapp,0.006939757645119462
has_deadline_mentioned,0.005144574045704802
question_count,0.004947823372845629
service_branding,0.004516037738711366
service_mobile_app,0.004313218007067307
service_ecommerce,0.0033806963483141543
service_website,0.0033178843568243666
service_seo,0.0029381975210024114
is_business_hours,0.0027361024110856267
exclamation_count,0.0002539137982720795
has_company_mentioned,0.0
has_phone_mentioned,0.0
